sweep_name,output,value_low,value_high,relative_change,trend
L_susp,dominant_pendulum_period_s,10.513214710704407,11.594517526391503,0.1028517770674015,increases
L_susp,dominant_torsion_period_s,4.8986248343148615,8.123450282168157,0.6583123951978108,increases
L_susp,dominant_pendulum_frequency_hz,0.09511838457763201,0.0862476595273408,-0.09325983709333566,decreases
L_susp,dominant_torsion_frequency_hz,0.20413892343724735,0.12310040257095028,-0.3969773108517859,decreases
L_susp,max_gondola_swing_angle_deg,9.334447358646102,9.201642412584805,-0.014227403182930313,approximately unchanged
L_susp,max_gondola_swing_rate_deg_s,13.57654100393788,7.843016924991997,-0.42231110835100577,non-monotonic
L_susp,max_gondola_yaw_deg,8.731948552080793,9.459364353530328,0.0833050947461428,increases
L_susp,max_gondola_yaw_rate_deg_s,10.594373651712662,6.815526855571071,-0.3566843043647711,decreases
L_susp,settling_time_pendulum_s,1338.5840711960293,1476.2598216726583,0.10285177706740171,increases
L_susp,settling_time_torsion_s,3118.5614269357084,5171.549069473257,0.6583123951978108,increases
L_susp,peak_total_cable_tension_N,924.9688795106487,921.3249224903543,-0.003939545536085683,approximately unchanged
L_susp,peak_per_cable_tension_N,231.24221987766217,230.33123062258858,-0.003939545536085683,approximately unchanged
L_susp,minimum_per_cable_tension_N,216.87488546297635,216.91692693770676,0.0001938512826907652,approximately unchanged
L_susp,dynamic_static_tension_ratio,1.052325523689667,1.0481798393703063,-0.003939545536085607,approximately unchanged
L_susp,maximum_torsional_torque_Nm,4.045262097455597,1.5920658037425512,-0.6064369216659818,decreases
L_susp,maximum_torsion_element_twist_deg,0.942710051074712,1.015551480226909,0.077268115545343,increases
L_susp,required_imu_sampling_10x_hz,555.0434030388094,334.7037654984981,-0.3969773108444725,decreases
L_susp,required_imu_sampling_20x_hz,1110.0868060776188,669.4075309969962,-0.3969773108444725,decreases
N_cables,dominant_pendulum_period_s,11.03205411224117,10.953053258876492,-0.007161028450451305,approximately unchanged
N_cables,dominant_torsion_period_s,6.707758592625418,6.7075592268783835,-2.972166399278346e-05,approximately unchanged
N_cables,dominant_pendulum_frequency_hz,0.0906449505981302,0.09129874349780848,0.00721267864744981,approximately unchanged
N_cables,dominant_torsion_frequency_hz,0.14908109559867147,0.1490855266686013,2.9722547396400873e-05,approximately unchanged
