L_susp,N_cables,r_attach,m_gondola,m_one_cable_total,m_cables_total,zeta_pendulum,zeta_torsion,gondola_shape,I_gondola_tilt,I_gondola_yaw,gondola_reference_size,disturbance_case,pend_initial_angle_deg,pend_initial_rate_deg_s,torsion_initial_twist_deg,torsion_initial_yaw_rate_deg_s,dominant_pendulum_period_s,dominant_torsion_period_s,dominant_pendulum_frequency_hz,dominant_torsion_frequency_hz,max_gondola_swing_angle_deg,max_gondola_swing_rate_deg_s,max_gondola_yaw_deg,max_gondola_yaw_rate_deg_s,settling_time_pendulum_s,settling_time_torsion_s,peak_total_cable_tension_N,peak_per_cable_tension_N,minimum_per_cable_tension_N,dynamic_static_tension_ratio,maximum_torsional_torque_Nm,maximum_torsion_element_twist_deg,f_max_relevant_hz,required_imu_sampling_10x_hz,required_imu_sampling_20x_hz,feasible,violations,case_id,sweep_name,varied_parameter,varied_value
15.0,4,0.54,100.0,0.2,0.8,0.005,0.001,cube,16.7,16.7,side=1.00,high,8.0,3.0,8.0,3.0,11.016,6.167,0.0908,0.1621,9.04,9.6,9.02,8.602,1402.6,3926.3,921.9,230.5,217.0,1.049,2.639,0.97,40.5347,405.3,810.7,OK,OK,16,r,r,0.544
15.0,4,0.79,100.0,0.2,0.8,0.005,0.001,cube,16.7,16.7,side=1.00,high,8.0,3.0,8.0,3.0,11.016,4.263,0.0908,0.2346,9.04,9.6,8.57,12.052,1402.6,2714.1,921.9,230.5,217.0,1.049,5.409,0.9444,40.5348,405.3,810.7,OK,OK,17,r,r,0.789
15.0,4,1.03,100.0,0.2,0.8,0.005,0.001,cube,16.7,16.7,side=1.00,high,8.0,3.0,8.0,3.0,11.016,3.268,0.0908,0.306,9.04,9.6,8.32,15.538,1402.6,2080.2,921.9,230.5,217.0,1.049,9.163,0.9333,40.5351,405.4,810.7,OK,OK,18,r,r,1.033
15.0,4,1.28,100.0,0.2,0.8,0.005,0.001,cube,16.7,16.7,side=1.00,high,8.0,3.0,8.0,3.0,11.016,2.653,0.0908,0.377,9.04,9.6,8.11,19.028,1402.6,1688.8,921.9,230.5,217.0,1.049,13.961,0.929,40.5354,405.4,810.7,OK,OK,19,r,r,1.278
15.0,4,1.52,100.0,0.2,0.8,0.005,0.001,cube,16.7,16.7,side=1.00,high,8.0,3.0,8.0,3.0,11.016,2.239,0.0908,0.4466,9.04,9.6,8.07,22.45,1402.6,1425.6,921.9,230.5,217.0,1.049,19.853,0.9315,40.5357,405.4,810.7,OK,OK,20,r,r,1.522
15.0,4,1.77,100.0,0.2,0.8,0.005,0.001,cube,16.7,16.7,side=1.00,high,8.0,3.0,8.0,3.0,11.016,1.941,0.0908,0.5153,9.04,9.6,8.04,25.824,1402.6,1235.6,921.9,230.5,217.0,1.049,26.709,0.9297,40.5361,405.4,810.7,OK,OK,21,r,r,1.767
15.0,4,2.01,100.0,0.2,0.8,0.005,0.001,cube,16.7,16.7,side=1.00,high,8.0,3.0,8.0,3.0,11.016,1.717,0.0908,0.5823,9.04,9.6,8.01,29.077,1402.6,1093.3,921.9,230.5,217.0,1.049,35.425,0.9521,40.5366,405.4,810.7,OK,OK,22,r,r,2.011
15.0,4,2.26,100.0,0.2,0.8,0.005,0.001,cube,16.7,16.7,side=1.00,high,8.0,3.0,8.0,3.0,11.016,1.543,0.0908,0.6481,9.04,9.6,8.0,32.231,1402.6,982.3,921.9,230.5,217.0,1.049,45.274,0.9668,40.5371,405.4,810.7,OK,OK,23,r,r,2.256
15.0,4,2.5,100.0,0.2,0.8,0.005,0.001,cube,16.7,16.7,side=1.00,high,8.0,3.0,8.0,3.0,11.016,1.404,0.0908,0.712,9.04,9.6,8.0,35.493,1402.6,894.1,921.9,230.5,217.0,1.049,55.46,0.9645,40.5378,405.4,810.8,OK,OK,24,r,r,2.5
15.0,4,0.5,100.0,0.2,0.8,0.001,0.001,cube,16.7,16.7,side=1.00,high,8.0,3.0,8.0,3.0,11.016,6.708,0.0908,0.1491,9.16,10.18,9.11,7.997,7013.0,4270.3,927.4,231.8,216.9,1.055,2.252,0.979,40.5346,405.3,810.7,OK,OK,25,zeta_pendulum,zeta_pendulum,0.001
15.0,4,0.5,100.0,0.2,0.8,0.0031,0.001,cube,16.7,16.7,side=1.00,high,8.0,3.0,8.0,3.0,11.016,6.708,0.0908,0.1491,9.04,9.87,9.11,7.997,2255.0,4270.3,924.4,231.1,217.0,1.052,2.252,0.979,40.5346,405.3,810.7,OK,OK,26,zeta_pendulum,zeta_pendulum,0.00311
15.0,4,0.5,100.0,0.2,0.8,0.0052,0.001,cube,16.7,16.7,side=1.00,high,8.0,3.0,8.0,3.0,11.016,6.708,0.0908,0.1491,9.04,9.57,9.11,7.997,1343.5,4270.3,921.6,230.4,217.0,1.049,2.252,0.979,40.5346,405.3,810.7,OK,OK,27,zeta_pendulum,zeta_pendulum,0.00522
15.0,4,0.5,100.0,0.2,0.8,0.0073,0.001,cube,16.7,16.7,side=1.00,high,8.0,3.0,8.0,3.0,11.016,6.708,0.0908,0.1491,9.03,9.28,9.11,7.997,956.8,4270.3,919.2,229.8,217.0,1.046,2.252,0.979,40.5346,405.3,810.7,OK,OK,28,zeta_pendulum,zeta_pendulum,0.00733
15.0,4,0.5,100.0,0.2,0.8,0.0094,0.001,cube,16.7,16.7,side=1.00,high,8.0,3.0,8.0,3.0,11.016,6.708,0.0908,0.1491,9.03,9.01,9.11,7.997,742.9,4270.3,916.9,229.2,217.0,1.043,2.252,0.979,40.5346,405.3,810.7,OK,OK,29,zeta_pendulum,zeta_pendulum,0.00944
15.0,4,0.5,100.0,0.2,0.8,0.0116,0.001,cube,16.7,16.7,side=1.00,high,8.0,3.0,8.0,3.0,11.016,6.708,0.0908,0.1491,9.03,8.75,9.11,7.997,606.7,4270.3,914.8,228.7,217.0,1.041,2.252,0.979,40.5346,405.3,810.7,OK,OK,30,zeta_pendulum,zeta_pendulum,0.01156
15.0,4,0.5,100.0,0.2,0.8,0.0137,0.001,cube,16.7,16.7,side=1.00,high,8.0,3.0,8.0,3.0,11.016,6.708,0.0908,0.1491,9.03,8.51,9.11,7.997,513.0,4270.3,912.9,228.2,217.0,1.039,2.252,0.979,40.5346,405.3,810.7,OK,OK,31,zeta_pendulum,zeta_pendulum,0.01367
15.0,4,0.5,100.0,0.2,0.8,0.0158,0.001,cube,16.7,16.7,side=1.00,high,8.0,3.0,8.0,3.0,11.016,6.708,0.0908,0.1491,9.02,8.28,9.11,7.997,444.4,4270.3,911.1,227.8,217.0,1.037,2.252,0.979,40.5346,405.3,810.7,OK,OK,32,zeta_pendulum,zeta_pendulum,0.01578
15.0,4,0.5,100.0,0.2,0.8,0.0179,0.001,cube,16.7,16.7,side=1.00,high,8.0,3.0,8.0,3.0,11.016,6.708,0.0908,0.1491,9.02,8.07,9.11,7.997,392.0,4270.3,909.4,227.4,217.0,1.035,2.252,0.979,40.5346,405.3,810.7,OK,OK,33,zeta_pendulum,zeta_pendulum,0.01789
15.0,4,0.5,100.0,0.2,0.8,0.02,0.001,cube,16.7,16.7,side=1.00,high,8.0,3.0,8.0,3.0,11.016,6.708,0.0908,0.1491,9.02,7.86,9.11,7.997,350.7,4270.3,907.9,227.0,217.0,1.033,2.252,0.979,40.5346,405.3,810.7,OK,OK,34,zeta_pendulum,zeta_pendulum,0.02
15.0,4,0.5,100.0,0.2,0.8,0.005,0.001,cube,16.7,16.7,side=1.00,high,8.0,3.0,8.0,3.0,11.016,6.708,0.0908,0.1491,9.04,9.6,9.11,7.997,1402.6,4270.3,921.9,230.5,217.0,1.049,2.252,0.979,40.5346,405.3,810.7,OK,OK,35,zeta_torsion,zeta_torsion,0.001
15.0,4,0.5,100.0,0.2,0.8,0.005,0.0031,cube,16.7,16.7,side=1.00,high,8.0,3.0,8.0,3.0,11.016,6.708,0.0908,0.1491,9.04,9.6,8.62,7.955,1402.6,1373.1,921.9,230.5,217.0,1.049,2.246,0.9766,40.5346,405.3,810.7,OK,OK,36,zeta_torsion,zeta_torsion,0.00311
15.0,4,0.5,100.0,0.2,0.8,0.005,0.0052,cube,16.7,16.7,side=1.00,high,8.0,3.0,8.0,3.0,11.016,6.708,0.0908,0.1491,9.04,9.6,8.62,7.929,1402.6,818.1,921.9,230.5,217.0,1.049,2.245,0.9761,40.5346,405.3,810.7,OK,OK,37,zeta_torsion,zeta_torsion,0.00522
15.0,4,0.5,100.0,0.2,0.8,0.005,0.0073,cube,16.7,16.7,side=1.00,high,8.0,3.0,8.0,3.0,11.016,6.708,0.0908,0.1491,9.04,9.6,8.61,7.903,1402.6,582.6,921.9,230.5,217.0,1.049,2.244,0.9755,40.5346,405.3,810.7,OK,OK,38,zeta_torsion,zeta_torsion,0.00733
15.0,4,0.5,100.0,0.2,0.8,0.005,0.0094,cube,16.7,16.7,side=1.00,high,8.0,3.0,8.0,3.0,11.016,6.708,0.0908,0.1491,9.04,9.6,8.61,7.877,1402.6,452.4,921.9,230.5,217.0,1.049,2.243,0.975,40.5346,405.3,810.7,OK,OK,39,zeta_torsion,zeta_torsion,0.00944
15.0,4,0.5,100.0,0.2,0.8,0.005,0.0116,cube,16.7,16.7,side=1.00,high,8.0,3.0,8.0,3.0,11.016,6.708,0.0908,0.1491,9.04,9.6,8.61,7.851,1402.6,369.4,921.9,230.5,217.0,1.049,2.241,0.9745,40.5346,405.3,810.7,OK,OK,40,zeta_torsion,zeta_torsion,0.01156
15.0,4,0.5,100.0,0.2,0.8,0.005,0.0137,cube,16.7,16.7,side=1.00,high,8.0,3.0,8.0,3.0,11.016,6.708,0.0908,0.1491,9.04,9.6,8.61,7.825,1402.6,312.4,921.9,230.5,217.0,1.049,2.24,0.974,40.5346,405.3,810.7,OK,OK,41,zeta_torsion,zeta_torsion,0.01367
15.0,4,0.5,100.0,0.2,0.8,0.005,0.0158,cube,16.7,16.7,side=1.00,high,8.0,3.0,8.0,3.0,11.016,6.708,0.0908,0.1491,9.04,9.6,8.61,7.799,1402.6,270.6,921.9,230.5,217.0,1.049,2.239,0.9735,40.5346,405.3,810.7,OK,OK,42,zeta_torsion,zeta_torsion,0.01578
