L_susp,N_cables,r_attach,m_gondola,m_one_cable_total,m_cables_total,zeta_pendulum,zeta_torsion,gondola_shape,I_gondola_tilt,I_gondola_yaw,gondola_reference_size,disturbance_case,pend_initial_angle_deg,pend_initial_rate_deg_s,torsion_initial_twist_deg,torsion_initial_yaw_rate_deg_s,dominant_pendulum_period_s,dominant_torsion_period_s,dominant_pendulum_frequency_hz,dominant_torsion_frequency_hz,max_gondola_swing_angle_deg,max_gondola_swing_rate_deg_s,max_gondola_yaw_deg,max_gondola_yaw_rate_deg_s,settling_time_pendulum_s,settling_time_torsion_s,peak_total_cable_tension_N,peak_per_cable_tension_N,minimum_per_cable_tension_N,dynamic_static_tension_ratio,maximum_torsional_torque_Nm,maximum_torsion_element_twist_deg,f_max_relevant_hz,required_imu_sampling_10x_hz,required_imu_sampling_20x_hz,feasible,violations,passes,config_id
10.0,3,0.5,100.0,0.1,0.30000000000000004,0.01,0.005,solid_cylinder,33.04519375,65.09405000000001,"R=1.14, h=0.24",high,8.0,3.0,8.0,3.0,10.664669128500853,10.722679568234014,0.09376755977619076,0.0932602707780716,26.347902138473323,39.99231502365208,11.46031350262588,5.375145273581428,678.9339232961786,1365.2539651799307,1369.1726832528095,456.3908944176032,261.25239947071344,1.5654557923166392,3.6387601629405744,1.0624406635429806,80.96779061058606,809.6779061058606,1619.3558122117213,FAIL,swing>=10deg;yaw>=10deg,False,0
10.0,3,0.5,100.0,0.1,0.30000000000000004,0.01,0.01,solid_cylinder,33.04519375,65.09405000000001,"R=1.14, h=0.24",high,8.0,3.0,8.0,3.0,10.664669128500853,10.722679568234014,0.09376755977619076,0.0932602707780716,26.347902138473323,39.99231502365208,10.491100377420677,5.272708020059978,678.9339232961786,682.6269825899653,1369.1726832528095,456.3908944176032,261.25239947071344,1.5654557923166392,3.631317240761683,1.0602674883887135,80.96779061058606,809.6779061058606,1619.3558122117213,FAIL,swing>=10deg;yaw>=10deg,False,1
10.0,3,0.5,100.0,0.1,0.30000000000000004,0.02,0.005,solid_cylinder,33.04519375,65.09405000000001,"R=1.14, h=0.24",high,8.0,3.0,8.0,3.0,10.664669128500853,10.722679568234014,0.09376755977619076,0.0932602707780716,23.874110095205733,35.42540503894866,11.46031350262588,5.375145273581428,339.4669616480893,1365.2539651799307,1262.5895643531844,420.86318811772816,266.5959459294047,1.4435930332319378,3.6387601629405744,1.0624406635429806,80.96779061058606,809.6779061058606,1619.3558122117213,FAIL,swing>=10deg;yaw>=10deg,False,2
10.0,3,0.5,100.0,0.1,0.30000000000000004,0.02,0.01,solid_cylinder,33.04519375,65.09405000000001,"R=1.14, h=0.24",high,8.0,3.0,8.0,3.0,10.664669128500853,10.722679568234014,0.09376755977619076,0.0932602707780716,23.874110095205733,35.42540503894866,10.491100377420677,5.272708020059978,339.4669616480893,682.6269825899653,1262.5895643531844,420.86318811772816,266.5959459294047,1.4435930332319378,3.631317240761683,1.0602674883887135,80.96779061058606,809.6779061058606,1619.3558122117213,FAIL,swing>=10deg;yaw>=10deg,False,3
10.0,3,0.5,100.0,0.1,0.30000000000000004,0.01,0.005,cube,16.666666666666664,16.666666666666664,side=1.00,high,8.0,3.0,8.0,3.0,10.690014957570398,5.476911618294677,0.09354523861464059,0.18258465166019347,8.866268426851535,11.142109324725505,8.414098942802319,9.49913654018992,680.5474888894507,697.3420455432238,913.453384842613,304.48446161420435,288.0565414146011,1.0444050701594907,3.239623471490501,0.9459012291423706,80.96786356096322,809.6786356096322,1619.3572712192645,OK,OK,True,4
10.0,3,0.5,100.0,0.1,0.30000000000000004,0.01,0.01,cube,16.666666666666664,16.666666666666664,side=1.00,high,8.0,3.0,8.0,3.0,10.690014957570398,5.476911618294677,0.09354523861464059,0.18258465166019347,8.866268426851535,11.142109324725505,8.413130145086928,9.42403896435772,680.5474888894507,348.6710227716119,913.453384842613,304.48446161420435,288.0565414146011,1.0444050701594907,3.236313772638509,0.944934867390846,80.96786356096322,809.6786356096322,1619.3572712192645,OK,OK,True,5
10.0,3,0.5,100.0,0.1,0.30000000000000004,0.02,0.005,cube,16.666666666666664,16.666666666666664,side=1.00,high,8.0,3.0,8.0,3.0,10.690014957570398,5.476911618294677,0.09354523861464059,0.18258465166019347,8.855477995104259,10.746978508778092,8.414098942802319,9.49913654018992,340.27374444472537,697.3420455432238,908.4926004135788,302.83086680452624,288.0663800668921,1.038733113061708,3.239623471490501,0.9459012291423706,80.96786356096322,809.6786356096322,1619.3572712192645,OK,OK,True,6
10.0,3,0.5,100.0,0.1,0.30000000000000004,0.02,0.01,cube,16.666666666666664,16.666666666666664,side=1.00,high,8.0,3.0,8.0,3.0,10.690014957570398,5.476911618294677,0.09354523861464059,0.18258465166019347,8.855477995104259,10.746978508778092,8.413130145086928,9.42403896435772,340.27374444472537,348.6710227716119,908.4926004135788,302.83086680452624,288.0663800668921,1.038733113061708,3.236313772638509,0.944934867390846,80.96786356096322,809.6786356096322,1619.3572712192645,OK,OK,True,7
10.0,3,0.5,100.0,0.1,0.30000000000000004,0.01,0.005,solid_sphere,15.395846399999996,15.395846399999996,R=0.62,high,8.0,3.0,8.0,3.0,10.698284669828576,5.26552383249321,0.09347292868549398,0.18991462802410353,8.791903101559827,9.914167337860922,8.385948574283994,9.851215347955588,681.0739551229854,670.4273167275804,904.7161317220567,301.5720439073522,288.1188009842983,1.0344152539194993,3.228945947649128,0.9427836190205052,80.96787165473815,809.6787165473814,1619.3574330947629,OK,OK,True,8
10.0,3,0.5,100.0,0.1,0.30000000000000004,0.01,0.01,solid_sphere,15.395846399999996,15.395846399999996,R=0.62,high,8.0,3.0,8.0,3.0,10.698284669828576,5.26552383249321,0.09347292868549398,0.18991462802410353,8.791903101559827,9.914167337860922,8.385202519042727,9.774692521858734,681.0739551229854,335.2136583637902,904.7161317220567,301.5720439073522,288.1188009842983,1.0344152539194993,3.225630100754705,0.9418154621712034,80.96787165473815,809.6787165473814,1619.3574330947629,OK,OK,True,9
