L_susp,N_cables,r_attach,m_gondola,m_one_cable_total,m_cables_total,zeta_pendulum,zeta_torsion,gondola_shape,I_gondola_tilt,I_gondola_yaw,gondola_reference_size,disturbance_case,pend_initial_angle_deg,pend_initial_rate_deg_s,torsion_initial_twist_deg,torsion_initial_yaw_rate_deg_s,dominant_pendulum_period_s,dominant_torsion_period_s,dominant_pendulum_frequency_hz,dominant_torsion_frequency_hz,max_gondola_swing_angle_deg,max_gondola_swing_rate_deg_s,max_gondola_yaw_deg,max_gondola_yaw_rate_deg_s,settling_time_pendulum_s,settling_time_torsion_s,peak_total_cable_tension_N,peak_per_cable_tension_N,minimum_per_cable_tension_N,dynamic_static_tension_ratio,maximum_torsional_torque_Nm,maximum_torsion_element_twist_deg,f_max_relevant_hz,required_imu_sampling_10x_hz,required_imu_sampling_20x_hz,feasible,violations,passes,config_id,shape_complexity,max_ang_rate_deg_s,max_ang_amp_deg,max_settling_s,rank
10.0,3,0.5,100.0,0.1,0.30000000000000004,0.02,0.01,cube,16.666666666666664,16.666666666666664,side=1.00,high,8.0,3.0,8.0,3.0,10.690014957570398,5.476911618294677,0.09354523861464059,0.18258465166019347,8.855477995104259,10.746978508778092,8.413130145086928,9.42403896435772,340.27374444472537,348.6710227716119,908.4926004135788,302.83086680452624,288.0663800668921,1.038733113061708,3.236313772638509,0.944934867390846,80.96786356096322,809.6786356096322,1619.3572712192645,OK,OK,True,7,1,10.746978508778092,8.855477995104259,348.6710227716119,1
10.0,3,0.5,100.0,0.1,0.30000000000000004,0.02,0.005,cube,16.666666666666664,16.666666666666664,side=1.00,high,8.0,3.0,8.0,3.0,10.690014957570398,5.476911618294677,0.09354523861464059,0.18258465166019347,8.855477995104259,10.746978508778092,8.414098942802319,9.49913654018992,340.27374444472537,697.3420455432238,908.4926004135788,302.83086680452624,288.0663800668921,1.038733113061708,3.239623471490501,0.9459012291423706,80.96786356096322,809.6786356096322,1619.3572712192645,OK,OK,True,6,1,10.746978508778092,8.855477995104259,697.3420455432238,2
10.0,3,0.5,100.0,0.1,0.30000000000000004,0.01,0.01,cube,16.666666666666664,16.666666666666664,side=1.00,high,8.0,3.0,8.0,3.0,10.690014957570398,5.476911618294677,0.09354523861464059,0.18258465166019347,8.866268426851535,11.142109324725505,8.413130145086928,9.42403896435772,680.5474888894507,348.6710227716119,913.453384842613,304.48446161420435,288.0565414146011,1.0444050701594907,3.236313772638509,0.944934867390846,80.96786356096322,809.6786356096322,1619.3572712192645,OK,OK,True,5,1,11.142109324725505,8.866268426851535,680.5474888894507,3
10.0,3,0.5,100.0,0.1,0.30000000000000004,0.01,0.005,cube,16.666666666666664,16.666666666666664,side=1.00,high,8.0,3.0,8.0,3.0,10.690014957570398,5.476911618294677,0.09354523861464059,0.18258465166019347,8.866268426851535,11.142109324725505,8.414098942802319,9.49913654018992,680.5474888894507,697.3420455432238,913.453384842613,304.48446161420435,288.0565414146011,1.0444050701594907,3.239623471490501,0.9459012291423706,80.96786356096322,809.6786356096322,1619.3572712192645,OK,OK,True,4,1,11.142109324725505,8.866268426851535,697.3420455432238,4
10.0,3,0.75,100.0,0.1,0.30000000000000004,0.02,0.01,cube,16.666666666666664,16.666666666666664,side=1.00,high,8.0,3.0,8.0,3.0,10.690014957570398,3.654649546968832,0.09354523861464059,0.2736240471618956,8.855477995104259,10.746978508778092,8.180285154033067,13.742909896196673,340.27374444472537,232.6622162674582,908.4926004135788,302.83086680452624,288.0663800668921,1.038733113061708,7.0637891704793985,0.9157257405417558,80.96798689700714,809.6798689700713,1619.3597379401426,OK,OK,True,23,1,13.742909896196673,8.855477995104259,340.27374444472537,5
10.0,3,0.75,100.0,0.1,0.30000000000000004,0.02,0.005,cube,16.666666666666664,16.666666666666664,side=1.00,high,8.0,3.0,8.0,3.0,10.690014957570398,3.654649546968832,0.09354523861464059,0.2736240471618956,8.855477995104259,10.746978508778092,8.180630474115167,13.851767434626417,340.27374444472537,465.3244325349164,908.4926004135788,302.83086680452624,288.0663800668921,1.038733113061708,7.068287957981278,0.9163237936655061,80.96798689700714,809.6798689700713,1619.3597379401426,OK,OK,True,22,1,13.851767434626417,8.855477995104259,465.3244325349164,6
10.0,3,0.75,100.0,0.1,0.30000000000000004,0.01,0.01,cube,16.666666666666664,16.666666666666664,side=1.00,high,8.0,3.0,8.0,3.0,10.690014957570398,3.654649546968832,0.09354523861464059,0.2736240471618956,8.866268426851535,11.142109324725505,8.180285154033067,13.742909896196673,680.5474888894507,232.6622162674582,913.453384842613,304.48446161420435,288.0565414146011,1.0444050701594907,7.0637891704793985,0.9157257405417558,80.96798689700714,809.6798689700713,1619.3597379401426,OK,OK,True,21,1,13.742909896196673,8.866268426851535,680.5474888894507,7
10.0,3,0.75,100.0,0.1,0.30000000000000004,0.01,0.005,cube,16.666666666666664,16.666666666666664,side=1.00,high,8.0,3.0,8.0,3.0,10.690014957570398,3.654649546968832,0.09354523861464059,0.2736240471618956,8.866268426851535,11.142109324725505,8.180630474115167,13.851767434626417,680.5474888894507,465.3244325349164,913.453384842613,304.48446161420435,288.0565414146011,1.0444050701594907,7.068287957981278,0.9163237936655061,80.96798689700714,809.6798689700713,1619.3597379401426,OK,OK,True,20,1,13.851767434626417,8.866268426851535,680.5474888894507,8
10.0,3,1.0,100.0,0.1,0.30000000000000004,0.02,0.01,cube,16.666666666666664,16.666666666666664,side=1.00,high,8.0,3.0,8.0,3.0,10.690014957570398,2.74453002288008,0.09354523861464059,0.3643611079723627,8.855477995104259,10.746978508778092,8.096768400056236,18.142637621590303,340.27374444472537,174.72220784219093,908.4926004135788,302.83086680452624,288.0663800668921,1.038733113061708,12.420703247200695,0.9047023896702542,80.9681595569123,809.6815955691229,1619.3631911382458,OK,OK,True,39,1,18.142637621590303,8.855477995104259,340.27374444472537,9
10.0,3,1.0,100.0,0.1,0.30000000000000004,0.02,0.005,cube,16.666666666666664,16.666666666666664,side=1.00,high,8.0,3.0,8.0,3.0,10.690014957570398,2.74453002288008,0.09354523861464059,0.3643611079723627,8.855477995104259,10.746978508778092,8.096833561252023,18.284827240934924,340.27374444472537,349.44441568438185,908.4926004135788,302.83086680452624,288.0663800668921,1.038733113061708,12.421740740592583,0.9049487847103501,80.9681595569123,809.6815955691229,1619.3631911382458,OK,OK,True,38,1,18.284827240934924,8.855477995104259,349.44441568438185,10
10.0,3,1.0,100.0,0.1,0.30000000000000004,0.01,0.01,cube,16.666666666666664,16.666666666666664,side=1.00,high,8.0,3.0,8.0,3.0,10.690014957570398,2.74453002288008,0.09354523861464059,0.3643611079723627,8.866268426851535,11.142109324725505,8.096768400056236,18.142637621590303,680.5474888894507,174.72220784219093,913.453384842613,304.48446161420435,288.0565414146011,1.0444050701594907,12.420703247200695,0.9047023896702542,80.9681595569123,809.6815955691229,1619.3631911382458,OK,OK,True,37,1,18.142637621590303,8.866268426851535,680.5474888894507,11
10.0,3,1.0,100.0,0.1,0.30000000000000004,0.01,0.005,cube,16.666666666666664,16.666666666666664,side=1.00,high,8.0,3.0,8.0,3.0,10.690014957570398,2.74453002288008,0.09354523861464059,0.3643611079723627,8.866268426851535,11.142109324725505,8.096833561252023,18.284827240934924,680.5474888894507,349.44441568438185,913.453384842613,304.48446161420435,288.0565414146011,1.0444050701594907,12.421740740592583,0.9049487847103501,80.9681595569123,809.6815955691229,1619.3631911382458,OK,OK,True,36,1,18.284827240934924,8.866268426851535,680.5474888894507,12
10.0,3,1.25,100.0,0.1,0.30000000000000004,0.02,0.01,cube,16.666666666666664,16.666666666666664,side=1.00,high,8.0,3.0,8.0,3.0,10.690014957570398,2.1992666752347563,0.09354523861464059,0.4546970184474136,8.855477995104259,10.746978508778092,8.067134313460095,22.523246435015647,340.27374444472537,140.0096650163558,908.4926004135788,302.83086680452624,288.0663800668921,1.038733113061708,19.355690259002166,0.9024275020052301,80.96838153012095,809.6838153012095,1619.367630602419,OK,OK,True,55,1,22.523246435015647,8.855477995104259,340.27374444472537,13
10.0,3,1.25,100.0,0.1,0.30000000000000004,0.02,0.005,cube,16.666666666666664,16.666666666666664,side=1.00,high,8.0,3.0,8.0,3.0,10.690014957570398,2.1992666752347563,0.09354523861464059,0.4546970184474136,8.855477995104259,10.746978508778092,8.067200941184531,22.70163933243242,340.27374444472537,280.0193300327116,908.4926004135788,302.83086680452624,288.0663800668921,1.038733113061708,19.360813902357012,0.9026663835233785,80.96838153012095,809.6838153012095,1619.367630602419,OK,OK,True,54,1,22.70163933243242,8.855477995104259,340.27374444472537,14
10.0,3,1.25,100.0,0.1,0.30000000000000004,0.01,0.01,cube,16.666666666666664,16.666666666666664,side=1.00,high,8.0,3.0,8.0,3.0,10.690014957570398,2.1992666752347563,0.09354523861464059,0.4546970184474136,8.866268426851535,11.142109324725505,8.067134313460095,22.523246435015647,680.5474888894507,140.0096650163558,913.453384842613,304.48446161420435,288.0565414146011,1.0444050701594907,19.355690259002166,0.9024275020052301,80.96838153012095,809.6838153012095,1619.367630602419,OK,OK,True,53,1,22.523246435015647,8.866268426851535,680.5474888894507,15
10.0,3,1.25,100.0,0.1,0.30000000000000004,0.01,0.005,cube,16.666666666666664,16.666666666666664,side=1.00,high,8.0,3.0,8.0,3.0,10.690014957570398,2.1992666752347563,0.09354523861464059,0.4546970184474136,8.866268426851535,11.142109324725505,8.067200941184531,22.70163933243242,680.5474888894507,280.0193300327116,913.453384842613,304.48446161420435,288.0565414146011,1.0444050701594907,19.360813902357012,0.9026663835233785,80.96838153012095,809.6838153012095,1619.367630602419,OK,OK,True,52,1,22.70163933243242,8.866268426851535,680.5474888894507,16
12.0,3,0.5,100.0,0.1,0.30000000000000004,0.02,0.01,cube,16.666666666666664,16.666666666666664,side=1.00,high,8.0,3.0,8.0,3.0,10.831437132509523,5.999656077238944,0.09232385211364018,0.16667622062433324,8.912696285128126,9.008844006126145,8.494861326431383,8.683069814646887,344.775352085599,381.9499686175633,902.1270040194635,300.70900133982116,288.03379356531406,1.031454951681039,2.725417167413464,0.9526941124576399,73.91320884223352,739.1320884223352,1478.2641768446704,OK,OK,True,199,1,9.008844006126145,8.912696285128126,381.9499686175633,17
12.0,3,0.5,100.0,0.1,0.30000000000000004,0.02,0.005,cube,16.666666666666664,16.666666666666664,side=1.00,high,8.0,3.0,8.0,3.0,10.831437132509523,5.999656077238944,0.09232385211364018,0.16667622062433324,8.912696285128126,9.008844006126145,8.49607540482135,8.752756168844797,344.775352085599,763.8999372351266,902.1270040194635,300.70900133982116,288.03379356531406,1.031454951681039,2.7286146851075466,0.9538118335603225,73.91320884223352,739.1320884223352,1478.2641768446704,OK,OK,True,198,1,9.008844006126145,8.912696285128126,763.8999372351266,18
12.0,3,0.5,100.0,0.1,0.30000000000000004,0.01,0.01,cube,16.666666666666664,16.666666666666664,side=1.00,high,8.0,3.0,8.0,3.0,10.831437132509523,5.999656077238944,0.09232385211364018,0.16667622062433324,8.922444173758876,9.751328950394928,8.494861326431383,8.683069814646887,689.550704171198,381.9499686175633,910.7680034090885,303.58933446969615,288.03003294721367,1.0413347153597563,2.725417167413464,0.9526941124576399,73.91320884223352,739.1320884223352,1478.2641768446704,OK,OK,True,197,1,9.751328950394928,8.922444173758876,689.550704171198,19
12.0,3,0.5,100.0,0.1,0.30000000000000004,0.01,0.005,cube,16.666666666666664,16.666666666666664,side=1.00,high,8.0,3.0,8.0,3.0,10.831437132509523,5.999656077238944,0.09232385211364018,0.16667622062433324,8.922444173758876,9.751328950394928,8.49607540482135,8.752756168844797,689.550704171198,763.8999372351266,910.7680034090885,303.58933446969615,288.03003294721367,1.0413347153597563,2.7286146851075466,0.9538118335603225,73.91320884223352,739.1320884223352,1478.2641768446704,OK,OK,True,196,1,9.751328950394928,8.922444173758876,763.8999372351266,20
12.0,3,0.75,100.0,0.1,0.30000000000000004,0.02,0.01,cube,16.666666666666664,16.666666666666664,side=1.00,high,8.0,3.0,8.0,3.0,10.831437132509523,4.00346799333833,0.09232385211364018,0.2497834381750959,8.912696285128126,9.008844006126145,8.22472790240468,12.605175957830458,344.775352085599,254.8686882599945,902.1270040194635,300.70900133982116,288.03379356531406,1.031454951681039,5.9385796874426635,0.9247675231636294,73.91332143212257,739.1332143212258,1478.2664286424515,OK,OK,True,215,1,12.605175957830458,8.912696285128126,344.775352085599,21
12.0,3,0.75,100.0,0.1,0.30000000000000004,0.02,0.005,cube,16.666666666666664,16.666666666666664,side=1.00,high,8.0,3.0,8.0,3.0,10.831437132509523,4.00346799333833,0.09232385211364018,0.2497834381750959,8.912696285128126,9.008844006126145,8.225079352296339,12.703744617333996,344.775352085599,509.737376519989,902.1270040194635,300.70900133982116,288.03379356531406,1.031454951681039,5.941724730344707,0.9252572755434647,73.91332143212257,739.1332143212258,1478.2664286424515,OK,OK,True,214,1,12.703744617333996,8.912696285128126,509.737376519989,22
12.0,3,0.75,100.0,0.1,0.30000000000000004,0.01,0.01,cube,16.666666666666664,16.666666666666664,side=1.00,high,8.0,3.0,8.0,3.0,10.831437132509523,4.00346799333833,0.09232385211364018,0.2497834381750959,8.922444173758876,9.751328950394928,8.22472790240468,12.605175957830458,689.550704171198,254.8686882599945,910.7680034090885,303.58933446969615,288.03003294721367,1.0413347153597563,5.9385796874426635,0.9247675231636294,73.91332143212257,739.1332143212258,1478.2664286424515,OK,OK,True,213,1,12.605175957830458,8.922444173758876,689.550704171198,23
12.0,3,0.75,100.0,0.1,0.30000000000000004,0.01,0.005,cube,16.666666666666664,16.666666666666664,side=1.00,high,8.0,3.0,8.0,3.0,10.831437132509523,4.00346799333833,0.09232385211364018,0.2497834381750959,8.922444173758876,9.751328950394928,8.225079352296339,12.703744617333996,689.550704171198,509.737376519989,910.7680034090885,303.58933446969615,288.03003294721367,1.0413347153597563,5.941724730344707,0.9252572755434647,73.91332143212257,739.1332143212258,1478.2664286424515,OK,OK,True,212,1,12.703744617333996,8.922444173758876,689.550704171198,24
12.0,3,1.0,100.0,0.1,0.30000000000000004,0.02,0.01,cube,16.666666666666664,16.666666666666664,side=1.00,high,8.0,3.0,8.0,3.0,10.831437132509523,3.0064820065565807,0.09232385211364018,0.3326146631907941,8.912696285128126,9.008844006126145,8.122731402706906,16.588656323573364,344.775352085599,191.39858906412798,902.1270040194635,300.70900133982116,288.03379356531406,1.031454951681039,10.43986592778686,0.9122627724640874,73.91347904833059,739.1347904833059,1478.2695809666118,OK,OK,True,231,1,16.588656323573364,8.912696285128126,344.775352085599,25
12.0,3,1.0,100.0,0.1,0.30000000000000004,0.02,0.005,cube,16.666666666666664,16.666666666666664,side=1.00,high,8.0,3.0,8.0,3.0,10.831437132509523,3.0064820065565807,0.09232385211364018,0.3326146631907941,8.912696285128126,9.008844006126145,8.122913165025722,16.722961225533535,344.775352085599,382.79717812825595,902.1270040194635,300.70900133982116,288.03379356531406,1.031454951681039,10.441331089947703,0.9124872040069117,73.91347904833059,739.1347904833059,1478.2695809666118,OK,OK,True,230,1,16.722961225533535,8.912696285128126,382.79717812825595,26
12.0,3,1.0,100.0,0.1,0.30000000000000004,0.01,0.01,cube,16.666666666666664,16.666666666666664,side=1.00,high,8.0,3.0,8.0,3.0,10.831437132509523,3.0064820065565807,0.09232385211364018,0.3326146631907941,8.922444173758876,9.751328950394928,8.122731402706906,16.588656323573364,689.550704171198,191.39858906412798,910.7680034090885,303.58933446969615,288.03003294721367,1.0413347153597563,10.43986592778686,0.9122627724640874,73.91347904833059,739.1347904833059,1478.2695809666118,OK,OK,True,229,1,16.588656323573364,8.922444173758876,689.550704171198,27
12.0,3,1.0,100.0,0.1,0.30000000000000004,0.01,0.005,cube,16.666666666666664,16.666666666666664,side=1.00,high,8.0,3.0,8.0,3.0,10.831437132509523,3.0064820065565807,0.09232385211364018,0.3326146631907941,8.922444173758876,9.751328950394928,8.122913165025722,16.722961225533535,689.550704171198,382.79717812825595,910.7680034090885,303.58933446969615,288.03003294721367,1.0413347153597563,10.441331089947703,0.9124872040069117,73.91347904833059,739.1347904833059,1478.2695809666118,OK,OK,True,228,1,16.722961225533535,8.922444173758876,689.550704171198,28
12.0,3,1.25,100.0,0.1,0.30000000000000004,0.02,0.01,cube,16.666666666666664,16.666666666666664,side=1.00,high,8.0,3.0,8.0,3.0,10.831437132509523,2.40917593600991,0.09232385211364018,0.41507968972004816,8.912696285128126,9.008844006126145,8.080772258397444,20.593723991475393,344.775352085599,153.37290359760834,902.1270040194635,300.70900133982116,288.03379356531406,1.031454951681039,16.14531601455081,0.9035993928330077,73.91368168121984,739.1368168121984,1478.2736336243968,OK,OK,True,247,1,20.593723991475393,8.912696285128126,344.775352085599,29
12.0,3,1.25,100.0,0.1,0.30000000000000004,0.02,0.005,cube,16.666666666666664,16.666666666666664,side=1.00,high,8.0,3.0,8.0,3.0,10.831437132509523,2.40917593600991,0.09232385211364018,0.41507968972004816,8.912696285128126,9.008844006126145,8.080839714547785,20.752807417178765,344.775352085599,306.7458071952167,902.1270040194635,300.70900133982116,288.03379356531406,1.031454951681039,16.14732411632766,0.9037117795800166,73.91368168121984,739.1368168121984,1478.2736336243968,OK,OK,True,246,1,20.752807417178765,8.912696285128126,344.775352085599,30
12.0,3,1.25,100.0,0.1,0.30000000000000004,0.01,0.01,cube,16.666666666666664,16.666666666666664,side=1.00,high,8.0,3.0,8.0,3.0,10.831437132509523,2.40917593600991,0.09232385211364018,0.41507968972004816,8.922444173758876,9.751328950394928,8.080772258397444,20.593723991475393,689.550704171198,153.37290359760834,910.7680034090885,303.58933446969615,288.03003294721367,1.0413347153597563,16.14531601455081,0.9035993928330077,73.91368168121984,739.1368168121984,1478.2736336243968,OK,OK,True,245,1,20.593723991475393,8.922444173758876,689.550704171198,31
